# EASY A2.0-S(PCA)
# FINAL SOLUTION FILE
# Level id:1  -  Level type: EA
# Number of entries: 50
# Number of objectives: 2
# Total variables: 3 - Free variables: 2
# Number of constraints: 7
# Obj / <id> / Free Vars / Constraints
6.6522917428905 0.050772822958038  	 7678 	 3.1139887910594 2.5642519580749  	 -69.192799681785 -108.44907693228 -1.9642519580749 -44.188432297763 -0.475 -0.19922717704196 -4419928.5197678 
6.7363623644535 0.049028161901476  	 8140 	 3.0981284877503 2.5867658605909  	 -98.841745941938 -882.15870590911 -1.9867658605909 -44.098054103359 -0.475 -0.20097183809852 -4577422.6464245 
6.8019259633871 0.047795213779632  	 3385 	 3.0912482937427 2.6032892283244  	 -137.94916106101 -1433.0896229132 -2.0032892283244 -44.029754281542 -0.475 -0.20220478622037 -4695657.3037369 
6.9123280990462 0.045424536114407  	 2132 	 3.0459531843159 2.6366100204539  	 -98.621188973995 -2502.5233713406 -2.0366100204539 -43.901338480162 -0.475 -0.20457546388559 -4941030.6301983 
7.0702938300666 0.04303344387933  	 6267 	 3.0482783894861 2.6724955929418  	 -245.70592899328 -3595.4030089401 -2.0724955929418 -43.744297473007 -0.475 -0.20696655612067 -5215901.7516554 
7.1564448338345 0.040871325719678  	 5794 	 2.9592471416308 2.7071594879252  	 -42.770535230196 -4596.7659475775 -2.1071594879252 -43.622739133705 -0.475 -0.20912867428032 -5492139.8759269 
7.25864493382 0.039386097495262  	 6989 	 2.9466958100589 2.7323277040049  	 -91.40298118057 -5292.3079578959 -2.1323277040049 -43.515547424379 -0.475 -0.21061390250474 -5699468.9578186 
7.3310477704175 0.038201959517634  	 5448 	 2.9188725182105 2.7532592913464  	 -64.182718190337 -5851.5535738246 -2.1532592913464 -43.432079387036 -0.475 -0.21179804048237 -5876317.7852015 
7.4470222412486 0.036617915979869  	 9248 	 2.8980069098414 2.7825637148159  	 -94.845946056044 -6606.5010494935 -2.1825637148159 -43.307806755565 -0.475 -0.21338208402013 -6130775.7521373 
7.6172349703067 0.034579789701867  	 9279 	 2.8818357624727 2.8226883874334  	 -183.11314205638 -7590.0066968844 -2.2226883874334 -43.131162832351 -0.475 -0.21542021029813 -6492471.1270561 
7.7868385482455 0.032536833706431  	 9992 	 2.8434155712054 2.865990203677  	 -194.57206306121 -8590.504593069 -2.265990203677 -42.946279713394 -0.475 -0.21746316629357 -6900498.0105787 
7.943499990623 0.030391636650167  	 9587 	 2.7513701201119 2.9152781756541  	 -10.147317333356 -9658.1460347506 -2.3152781756541 -42.753012200117 -0.475 -0.21960836334983 -7387986.9119322 
8.1649390568495 0.028604425349686  	 9770 	 2.7644422775974 2.9597853528937  	 -225.75427357145 -10562.075698942 -2.3597853528937 -42.536771873405 -0.475 -0.22139557465031 -7849958.2287873 
8.2852038708647 0.02710760503408  	 8034 	 2.6775382123127 2.9998237295126  	 -16.96942839266 -11330.042564199 -2.3998237295126 -42.381945695004 -0.475 -0.22289239496592 -8283739.9779628 
8.5095614969503 0.02534986054011  	 9055 	 2.6517810458301 3.0505252906158  	 -92.432004287144 -12245.573565799 -2.4505252906158 -42.14734455714 -0.475 -0.22465013945989 -8858537.0271198 
8.817905686537 0.023367642256113  	 9768 	 2.6501453190364 3.1132557557996  	 -306.20223121879 -13297.320898475 -2.5132557557996 -41.838349846204 -0.475 -0.22663235774389 -9610481.7579713 
9.0082388714203 0.022132773475191  	 9233 	 2.6235528840915 3.1558006677319  	 -342.88864355753 -13963.785923319 -2.5558006677319 -41.63744096695 -0.475 -0.22786722652481 -10147012.288413 
9.3180140164892 0.020008528478449  	 9160 	 2.5100187581346 3.2364189549559  	 -134.72156059854 -15132.555422044 -2.6364189549559 -41.282513799538 -0.475 -0.22999147152155 -11224909.452911 
9.6867657365853 0.018501554062933  	 9960 	 2.5496776141488 3.300399185281  	 -517.1479856794 -15980.545265265 -2.700399185281 -40.92953423198 -0.475 -0.23149844593707 -12139665.901282 
