	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
2	5.1076e-01	3.1292e-01	1.1162e-01	9.2336e-02	7.1187e-02	5.5131e-02	9.5734e-02	5.8881e-02	3.4351e-02	8.9715e-01	4.3399e-01	1.6199e-01	8.1096e+00	5.2991e+00	2.8744e+00	6.0013e-01	5.0526e-01	3.4856e-01	6.8946e-01	4.3059e-01	1.6926e-01	1.7183e+00	1.0588e+00	3.7239e-01
4	3.0305e-01	1.7629e-01	6.5043e-02	1.0317e-01	8.3335e-02	7.0387e-02	6.7162e-02	4.2156e-02	2.0352e-02	5.3857e-01	2.8114e-01	1.3880e-01	5.2446e+00	3.6541e+00	2.1892e+00	5.6038e-01	4.1068e-01	2.5935e-01	5.5849e-01	3.2345e-01	1.5088e-01	1.3301e+00	7.8245e-01	3.2056e-01
6	2.1231e-01	1.2434e-01	6.6389e-02	8.5498e-02	6.7728e-02	5.7337e-02	4.9347e-02	3.2049e-02	1.9648e-02	3.8656e-01	1.9724e-01	1.0278e-01	4.5150e+00	3.0085e+00	1.7083e+00	4.6515e-01	3.5210e-01	2.5661e-01	3.7641e-01	2.1726e-01	1.3684e-01	9.5916e-01	5.3553e-01	2.3397e-01
8	1.6161e-01	8.7754e-02	5.2540e-02	6.7564e-02	5.2259e-02	4.4267e-02	3.7945e-02	2.4175e-02	1.8747e-02	2.8663e-01	1.4817e-01	8.5029e-02	3.3665e+00	2.0489e+00	1.0749e+00	4.9028e-01	3.6603e-01	2.6304e-01	3.4830e-01	2.2014e-01	1.3178e-01	6.8509e-01	3.8616e-01	2.0715e-01
10	1.3417e-01	6.6427e-02	4.0236e-02	5.3400e-02	3.5639e-02	2.6095e-02	3.3765e-02	2.0243e-02	1.5214e-02	2.3327e-01	1.1960e-01	7.0398e-02	2.7257e+00	1.8300e+00	1.0202e+00	4.3465e-01	3.0858e-01	2.1749e-01	3.0472e-01	1.9062e-01	1.2610e-01	6.1879e-01	3.5598e-01	1.9471e-01
12	1.0717e-01	6.0308e-02	3.4749e-02	4.5852e-02	3.3867e-02	2.8571e-02	2.6665e-02	1.6907e-02	1.1693e-02	1.9551e-01	1.0190e-01	6.2962e-02	2.5892e+00	1.8258e+00	1.0680e+00	3.7925e-01	2.7623e-01	1.8145e-01	2.8381e-01	1.9687e-01	1.4387e-01	5.4871e-01	3.1396e-01	1.6721e-01
14	9.7977e-02	6.0798e-02	3.7669e-02	5.6024e-02	4.2622e-02	3.5627e-02	2.2386e-02	1.4620e-02	9.2984e-03	1.6854e-01	8.9055e-02	5.5158e-02	2.4774e+00	1.8252e+00	1.1401e+00	3.4652e-01	2.5127e-01	1.6370e-01	2.9722e-01	2.1434e-01	1.5577e-01	4.9099e-01	2.7700e-01	1.6588e-01
16	1.0691e-01	6.8741e-02	4.1859e-02	5.9359e-02	4.2999e-02	3.2818e-02	1.9613e-02	1.2328e-02	8.3062e-03	1.4538e-01	7.8199e-02	4.7925e-02	2.4344e+00	1.8157e+00	1.1354e+00	3.1078e-01	2.1997e-01	1.4393e-01	2.9346e-01	2.0396e-01	1.4328e-01	4.7226e-01	2.8601e-01	1.8517e-01
18	1.0505e-01	6.6445e-02	3.7898e-02	5.5310e-02	3.9425e-02	2.6673e-02	1.9106e-02	1.2930e-02	1.0541e-02	1.3073e-01	6.9907e-02	4.0934e-02	2.5733e+00	1.8321e+00	1.1251e+00	2.8596e-01	1.9976e-01	1.2393e-01	2.7206e-01	1.7827e-01	1.2117e-01	4.4563e-01	2.8153e-01	1.8788e-01
20	9.2254e-02	5.5323e-02	2.9873e-02	4.9151e-02	3.4976e-02	2.1568e-02	2.0684e-02	1.5046e-02	1.2753e-02	1.1706e-01	6.0664e-02	3.3442e-02	2.7184e+00	1.8436e+00	1.0069e+00	2.6947e-01	1.8549e-01	1.1427e-01	2.4455e-01	1.5099e-01	1.0230e-01	4.0207e-01	2.5877e-01	1.7909e-01
