b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	1	1	3.351946e-02	-2.790240e-02	5.848127e-02	1.575229e-06	-1.292170e-06	2.775788e-07	4.320101e+00	5.189785e+00	0.000000e+00	9.982000e+02	-3.932187e+03	6.132291e-01	2.175554e+00	7.004411e+00	-7.523335e-06	4.772334e-06	-3.936993e-06	7.892799e-07	
4	1	2	1	3.368006e-02	-2.766198e-02	5.868730e-02	1.345148e-06	-1.096802e-06	2.329340e-07	4.282877e+00	5.214649e+00	0.000000e+00	9.982000e+02	-3.976971e+03	4.880636e-01	2.094270e+00	7.221560e+00	4.487664e-05	4.481064e-06	-3.537158e-06	1.097928e-06	
4	1	3	1	3.382921e-02	-2.745043e-02	5.881984e-02	1.122379e-06	-9.091932e-07	1.915641e-07	4.250122e+00	5.237743e+00	0.000000e+00	9.982000e+02	-3.983429e+03	3.651176e-01	2.004184e+00	7.415357e+00	2.831827e-05	3.334940e-06	-2.633034e-06	7.787889e-07	
4	1	4	1	3.395353e-02	-2.727398e-02	5.892535e-02	9.352074e-07	-7.499636e-07	1.590397e-07	4.222803e+00	5.256991e+00	0.000000e+00	9.982000e+02	-3.771362e+03	1.762635e-01	1.856234e+00	7.758506e+00	2.621164e-05	2.178467e-06	-1.690501e-06	5.747351e-07	
4	2	1	1	3.570946e-02	-2.608900e-02	5.383594e-02	1.822406e-06	-1.329601e-06	2.983610e-07	4.039334e+00	5.528861e+00	0.000000e+00	9.982000e+02	-1.165826e+03	9.438841e-01	2.794545e+00	6.722117e+00	-4.027203e-06	2.124614e-06	-1.564167e-06	3.213413e-07	
4	2	2	1	3.591100e-02	-2.578707e-02	5.394093e-02	1.492917e-06	-1.071164e-06	2.427483e-07	3.992587e+00	5.560064e+00	0.000000e+00	9.982000e+02	-8.160710e+02	9.397567e-01	2.807181e+00	6.627570e+00	-5.234225e-06	1.248954e-06	-9.144361e-07	1.691279e-07	
4	2	3	1	3.606666e-02	-2.554606e-02	5.404090e-02	1.228939e-06	-8.697601e-07	1.989069e-07	3.955271e+00	5.584165e+00	0.000000e+00	9.982000e+02	-2.423534e+02	9.182787e-01	2.800487e+00	6.591760e+00	-7.900790e-06	2.910095e-07	-2.334041e-07	-3.897038e-09	
4	2	4	1	3.618708e-02	-2.535287e-02	5.413775e-02	1.025093e-06	-7.176545e-07	1.652969e-07	3.925359e+00	5.602810e+00	0.000000e+00	9.982000e+02	-6.675994e+01	6.928711e-01	2.590430e+00	6.967789e+00	1.753816e-05	1.829537e-07	-7.339815e-08	1.500572e-07	
4	3	1	1	3.781484e-02	-2.415174e-02	4.894955e-02	1.966716e-06	-1.255730e-06	3.077637e-07	3.739390e+00	5.854834e+00	0.000000e+00	9.982000e+02	2.703806e+03	1.030769e+00	3.200433e+00	6.478594e+00	-3.788622e-06	-4.875400e-06	3.098107e-06	-7.868878e-07	
4	3	2	1	3.800752e-02	-2.382605e-02	4.903639e-02	1.611202e-06	-1.009596e-06	2.508392e-07	3.688963e+00	5.884667e+00	0.000000e+00	9.982000e+02	2.927279e+03	1.058797e+00	3.257195e+00	6.318965e+00	-4.435613e-06	-4.515292e-06	2.811841e-06	-7.303037e-07	
4	3	3	1	3.815509e-02	-2.356668e-02	4.912576e-02	1.327649e-06	-8.196001e-07	2.058734e-07	3.648805e+00	5.907515e+00	0.000000e+00	9.982000e+02	2.922563e+03	1.081240e+00	3.301837e+00	6.184443e+00	-4.765739e-06	-3.892325e-06	2.383872e-06	-6.322938e-07	
4	3	4	1	3.826920e-02	-2.335835e-02	4.921499e-02	1.108949e-06	-6.764705e-07	1.714202e-07	3.616550e+00	5.925182e+00	0.000000e+00	9.982000e+02	3.257506e+03	9.516668e-01	3.180776e+00	6.409447e+00	6.839541e-06	-3.569892e-06	2.203646e-06	-5.088906e-07	
4	4	1	1	3.979172e-02	-2.213137e-02	4.392581e-02	2.088694e-06	-1.161905e-06	3.149795e-07	3.426577e+00	6.160912e+00	0.000000e+00	9.982000e+02	4.808273e+03	1.041383e+00	3.592499e+00	6.342277e+00	1.957220e-05	-1.012256e-05	5.712877e-06	-1.405133e-06	
4	4	2	1	3.996944e-02	-2.178844e-02	4.400122e-02	1.717907e-06	-9.364824e-07	2.579255e-07	3.373482e+00	6.188429e+00	0.000000e+00	9.982000e+02	4.994683e+03	1.051681e+00	3.640587e+00	6.213532e+00	1.434423e-05	-8.606847e-06	4.752472e-06	-1.205147e-06	
4	4	3	1	4.010567e-02	-2.151421e-02	4.408254e-02	1.420081e-06	-7.616644e-07	2.124877e-07	3.331023e+00	6.209521e+00	0.000000e+00	9.982000e+02	5.004334e+03	1.073239e+00	3.694854e+00	6.075200e+00	-8.186335e-06	-6.564839e-06	3.485783e-06	-1.030774e-06	
4	4	4	1	4.021102e-02	-2.129328e-02	4.416597e-02	1.187328e-06	-6.285969e-07	1.771687e-07	3.296817e+00	6.225832e+00	0.000000e+00	9.982000e+02	5.287451e+03	9.702938e-01	3.594656e+00	6.256166e+00	2.682293e-06	-6.012926e-06	3.194387e-06	-8.807953e-07	
4	5	1	1	4.165211e-02	-2.001345e-02	3.877694e-02	2.184003e-06	-1.050175e-06	3.190656e-07	3.098663e+00	6.448955e+00	0.000000e+00	9.982000e+02	6.907092e+03	9.786922e-01	3.950120e+00	6.286503e+00	-2.047655e-06	-1.478339e-05	7.099667e-06	-2.172359e-06	
4	5	2	1	4.181087e-02	-1.965913e-02	3.884536e-02	1.805313e-06	-8.492933e-07	2.627677e-07	3.043804e+00	6.473535e+00	0.000000e+00	9.982000e+02	7.072183e+03	9.709813e-01	3.975931e+00	6.168547e+00	3.030906e-07	-1.260533e-05	5.931453e-06	-1.832904e-06	
4	5	3	1	4.193261e-02	-1.937437e-02	3.892224e-02	1.499197e-06	-6.929055e-07	2.175926e-07	2.999714e+00	6.492385e+00	0.000000e+00	9.982000e+02	6.977209e+03	9.800698e-01	4.010991e+00	6.013414e+00	5.932787e-07	-1.042625e-05	4.821500e-06	-1.509767e-06	
4	5	4	1	4.202663e-02	-1.914419e-02	3.900288e-02	1.254567e-06	-5.716378e-07	1.816529e-07	2.964076e+00	6.506942e+00	0.000000e+00	9.982000e+02	7.336505e+03	8.946693e-01	3.924878e+00	6.166727e+00	8.214232e-07	-9.051286e-06	4.127744e-06	-1.305591e-06	
4	6	1	1	4.340803e-02	-1.776534e-02	3.352170e-02	2.252780e-06	-9.233206e-07	3.202975e-07	2.750590e+00	6.720822e+00	0.000000e+00	9.982000e+02	8.429072e+03	8.613020e-01	4.277033e+00	6.243410e+00	-1.037045e-05	-1.817225e-05	7.400612e-06	-2.647468e-06	
4	6	2	1	4.354418e-02	-1.740588e-02	3.358952e-02	1.874188e-06	-7.500494e-07	2.656808e-07	2.694935e+00	6.741902e+00	0.000000e+00	9.982000e+02	8.564080e+03	8.466286e-01	4.287454e+00	6.109268e+00	-6.080351e-06	-1.547217e-05	6.164158e-06	-2.229904e-06	
4	6	3	1	4.364841e-02	-1.711543e-02	3.366723e-02	1.565483e-06	-6.144380e-07	2.214066e-07	2.649965e+00	6.758040e+00	0.000000e+00	9.982000e+02	8.237370e+03	8.410597e-01	4.295297e+00	5.955599e+00	-4.415731e-06	-1.251251e-05	4.890760e-06	-1.795401e-06	
4	6	4	1	4.372858e-02	-1.687993e-02	3.374946e-02	1.311760e-06	-5.068108e-07	1.851535e-07	2.613503e+00	6.770452e+00	0.000000e+00	9.982000e+02	8.794755e+03	7.781070e-01	4.226207e+00	6.039030e+00	-7.142330e-06	-1.120403e-05	4.296593e-06	-1.623764e-06	
4	7	1	1	4.506561e-02	-1.534157e-02	2.817862e-02	2.304119e-06	-7.861630e-07	3.200359e-07	2.375320e+00	6.977463e+00	0.000000e+00	9.982000e+02	9.901554e+03	6.842707e-01	4.542074e+00	6.192325e+00	-4.747308e-06	-2.124563e-05	7.226985e-06	-2.980234e-06	
4	7	2	1	4.517618e-02	-1.498280e-02	2.825363e-02	1.933075e-06	-6.423327e-07	2.679043e-07	2.319772e+00	6.994583e+00	0.000000e+00	9.982000e+02	1.006557e+04	6.709083e-01	4.548055e+00	6.031602e+00	-3.960874e-06	-1.793907e-05	5.942513e-06	-2.509704e-06	
4	7	3	1	4.526028e-02	-1.469140e-02	2.833884e-02	1.623867e-06	-5.279975e-07	2.246396e-07	2.274655e+00	7.007604e+00	0.000000e+00	9.982000e+02	9.624867e+03	6.558478e-01	4.536152e+00	5.893030e+00	-7.817104e-06	-1.455916e-05	4.697181e-06	-2.059217e-06	
4	7	4	1	4.532433e-02	-1.445458e-02	2.842816e-02	1.362689e-06	-4.352992e-07	1.882095e-07	2.237988e+00	7.017521e+00	0.000000e+00	9.982000e+02	1.024128e+04	6.110713e-01	4.480485e+00	5.911564e+00	-1.291758e-05	-1.287184e-05	4.052024e-06	-1.852782e-06	
4	8	1	1	4.661884e-02	-1.268934e-02	2.277637e-02	2.335379e-06	-6.380593e-07	3.178560e-07	1.964678e+00	7.217948e+00	0.000000e+00	9.982000e+02	1.116245e+04	4.555481e-01	4.739384e+00	6.112578e+00	-2.320996e-06	-2.395897e-05	6.535055e-06	-3.274970e-06	
4	8	2	1	4.670142e-02	-1.233684e-02	2.286757e-02	1.986458e-06	-5.262406e-07	2.700856e-07	1.910100e+00	7.230734e+00	0.000000e+00	9.982000e+02	1.129070e+04	4.463026e-01	4.745877e+00	5.924564e+00	-7.425882e-06	-2.020338e-05	5.316766e-06	-2.789894e-06	
