b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	4	1	3.512653e-02	-2.790882e-02	5.890053e-02	6.864164e-06	9.883328e-06	8.227953e-06	4.321095e+00	5.438606e+00	0.000000e+00	9.982000e+02	-3.771362e+03	2.503525e-02	1.982706e+00	7.735174e+00	-2.599969e-05	-2.593452e-05	-3.739238e-05	-3.128809e-05	
4	1	4	2	4.030078e-02	-3.147860e-02	5.858710e-02	2.477456e-05	3.179047e-05	4.076914e-05	4.873800e+00	6.239729e+00	0.000000e+00	9.982000e+02	-2.123513e+02	-3.121203e-01	1.737816e+00	6.661823e+00	8.922918e-06	-5.273240e-06	-6.747453e-06	-8.613356e-06	
4	1	4	3	4.938851e-02	-3.841210e-02	5.808972e-02	3.196811e-05	3.509650e-05	6.832717e-05	5.947307e+00	7.646773e+00	0.000000e+00	9.982000e+02	6.499380e+03	-8.961323e-02	1.501597e+00	5.980976e+00	9.824726e-04	2.095800e-04	2.316642e-04	4.540839e-04	
4	1	4	4	5.934758e-02	-4.664435e-02	5.761080e-02	3.146992e-05	3.314730e-05	7.915812e-05	7.221899e+00	9.188726e+00	0.000000e+00	9.982000e+02	9.493210e+03	4.715915e-01	1.295156e+00	5.989053e+00	1.252069e-03	3.101633e-04	3.277054e-04	7.863039e-04	
4	1	4	5	6.916609e-02	-5.491791e-02	5.746617e-02	2.744921e-05	3.421833e-05	8.974073e-05	8.502885e+00	1.070892e+01	0.000000e+00	9.982000e+02	1.269359e+04	7.999528e-01	8.761833e-01	6.105357e+00	2.008959e-03	3.630443e-04	4.523291e-04	1.194163e-03	
4	1	4	6	7.894927e-02	-6.313325e-02	5.748796e-02	2.955854e-05	3.401682e-05	9.975560e-05	9.774857e+00	1.222364e+01	0.000000e+00	9.982000e+02	1.367058e+04	1.377722e+00	8.335581e-01	6.372187e+00	1.116025e-04	4.047446e-04	4.657052e-04	1.366141e-03	
4	1	4	7	8.887839e-02	-7.108648e-02	5.769915e-02	2.491469e-05	4.001101e-05	1.092237e-04	1.100625e+01	1.376095e+01	0.000000e+00	9.982000e+02	1.333335e+04	1.892711e+00	9.821730e-01	6.760004e+00	-1.134239e-04	3.311371e-04	5.320156e-04	1.451852e-03	
4	1	4	8	9.921662e-02	-7.844149e-02	5.827705e-02	2.135324e-05	4.308753e-05	1.194981e-04	1.214502e+01	1.536161e+01	0.000000e+00	9.982000e+02	1.317471e+04	2.131153e+00	1.050010e+00	6.949736e+00	3.273788e-04	2.818960e-04	5.677499e-04	1.575920e-03	
4	1	4	9	1.102903e-01	-8.479632e-02	5.919437e-02	1.174124e-05	5.094071e-05	1.288785e-04	1.312893e+01	1.707614e+01	0.000000e+00	9.982000e+02	1.217364e+04	2.277911e+00	1.236775e+00	7.249251e+00	4.007555e-04	1.435272e-04	6.192326e-04	1.568304e-03	
4	1	4	10	1.226007e-01	-8.942445e-02	6.065752e-02	-1.976445e-06	5.935941e-05	1.373055e-04	1.384550e+01	1.898214e+01	0.000000e+00	9.982000e+02	1.147463e+04	2.344257e+00	1.742672e+00	7.287352e+00	-2.064151e-04	-2.320464e-05	6.819952e-04	1.576864e-03	
4	1	4	11	1.349485e-01	-9.127740e-02	6.292340e-02	-2.533249e-05	5.690187e-05	1.079860e-04	1.413239e+01	2.089394e+01	0.000000e+00	9.982000e+02	1.339183e+04	2.143100e+00	1.962460e+00	7.163133e+00	-3.079121e-04	-3.405214e-04	7.627882e-04	1.446529e-03	
