b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	1	12	1.431361e-01	-9.223978e-02	6.235835e-02	1.044926e-05	-6.707243e-06	-5.213091e-07	1.428139e+01	2.216161e+01	0.000000e+00	9.982000e+02	1.722753e+04	1.771803e+00	2.128057e+00	7.009285e+00	-3.878317e-05	1.838773e-04	-1.181563e-04	-9.449278e-06	
4	1	2	12	1.435071e-01	-9.174049e-02	6.331534e-02	9.623158e-06	-6.146414e-06	-5.560363e-07	1.420409e+01	2.221906e+01	0.000000e+00	9.982000e+02	1.827764e+04	1.798456e+00	2.165158e+00	6.974724e+00	1.210011e-04	1.839222e-04	-1.170587e-04	-9.767935e-06	
4	1	3	12	1.438188e-01	-9.133025e-02	6.417928e-02	8.653871e-06	-5.489514e-06	-5.118548e-07	1.414057e+01	2.226733e+01	0.000000e+00	9.982000e+02	1.823902e+04	1.905287e+00	2.342435e+00	6.828871e+00	2.313624e-04	1.635709e-04	-1.029092e-04	-8.064604e-06	
4	1	4	12	1.440424e-01	-9.105427e-02	6.497779e-02	7.722579e-06	-4.881491e-06	-4.867485e-07	1.409784e+01	2.230194e+01	0.000000e+00	9.982000e+02	1.922814e+04	1.925164e+00	2.364103e+00	6.824670e+00	4.081514e-05	1.660061e-04	-1.047910e-04	-1.017626e-05	
4	2	1	12	1.484319e-01	-8.316565e-02	5.931651e-02	1.129787e-05	-6.327382e-06	-5.210401e-07	1.287645e+01	2.298157e+01	0.000000e+00	9.982000e+02	1.981651e+04	1.801564e+00	2.627820e+00	7.030713e+00	8.791130e-05	2.266612e-04	-1.266189e-04	-9.826584e-06	
4	2	2	12	1.488600e-01	-8.247575e-02	6.022222e-02	1.007440e-05	-5.582579e-06	-5.006986e-07	1.276964e+01	2.304784e+01	0.000000e+00	9.982000e+02	2.045270e+04	1.876109e+00	2.765331e+00	6.956199e+00	6.369197e-05	2.065405e-04	-1.142079e-04	-9.815279e-06	
4	2	3	12	1.491647e-01	-8.200061e-02	6.107199e-02	9.002574e-06	-4.944562e-06	-4.496192e-07	1.269607e+01	2.309502e+01	0.000000e+00	9.982000e+02	2.052862e+04	2.057937e+00	3.110937e+00	6.765534e+00	5.971532e-05	1.852673e-04	-1.015016e-04	-8.841998e-06	
4	2	4	12	1.493782e-01	-8.168406e-02	6.186232e-02	8.018911e-06	-4.379526e-06	-4.139185e-07	1.264706e+01	2.312808e+01	0.000000e+00	9.982000e+02	2.150061e+04	2.174380e+00	3.316746e+00	6.727824e+00	2.267202e-04	1.791809e-04	-9.681229e-05	-7.693739e-06	
4	3	1	12	1.532385e-01	-7.366750e-02	5.610451e-02	1.174437e-05	-5.638485e-06	-3.937293e-07	1.140587e+01	2.372577e+01	0.000000e+00	9.982000e+02	2.456306e+04	1.624413e+00	2.857031e+00	7.088674e+00	1.221838e-04	2.940026e-04	-1.407015e-04	-8.981329e-06	
4	3	2	12	1.536303e-01	-7.291583e-02	5.699768e-02	1.044208e-05	-4.959702e-06	-4.121449e-07	1.128949e+01	2.378643e+01	0.000000e+00	9.982000e+02	2.512788e+04	1.689078e+00	2.988219e+00	7.047788e+00	1.542420e-04	2.644627e-04	-1.250229e-04	-9.338515e-06	
4	3	3	12	1.539099e-01	-7.239567e-02	5.783873e-02	9.311401e-06	-4.378453e-06	-3.749482e-07	1.120895e+01	2.382972e+01	0.000000e+00	9.982000e+02	2.521169e+04	1.842116e+00	3.319904e+00	6.888712e+00	3.070528e-05	2.352363e-04	-1.104851e-04	-9.258229e-06	
4	3	4	12	1.541070e-01	-7.204277e-02	5.862170e-02	8.279929e-06	-3.864480e-06	-3.353468e-07	1.115431e+01	2.386023e+01	0.000000e+00	9.982000e+02	2.588509e+04	1.980096e+00	3.609415e+00	6.849718e+00	2.453904e-04	2.209692e-04	-1.019986e-04	-7.244381e-06	
4	4	1	12	1.574647e-01	-6.390625e-02	5.278584e-02	1.213302e-05	-4.917554e-06	-2.579635e-07	9.894541e+00	2.438010e+01	0.000000e+00	9.982000e+02	2.806435e+04	1.449590e+00	3.169736e+00	7.133988e+00	4.329543e-06	3.417791e-04	-1.385078e-04	-7.235575e-06	
4	4	2	12	1.578078e-01	-6.310658e-02	5.366986e-02	1.076950e-05	-4.306185e-06	-2.810795e-07	9.770729e+00	2.443323e+01	0.000000e+00	9.982000e+02	2.815791e+04	1.503009e+00	3.291507e+00	7.118808e+00	2.237523e-04	3.101707e-04	-1.231382e-04	-6.489132e-06	
4	4	3	12	1.580535e-01	-6.254859e-02	5.450372e-02	9.581607e-06	-3.794795e-06	-2.898069e-07	9.684336e+00	2.447127e+01	0.000000e+00	9.982000e+02	2.837420e+04	1.643158e+00	3.634446e+00	6.984203e+00	2.202748e-04	2.727293e-04	-1.070640e-04	-6.696830e-06	
4	4	4	12	1.582282e-01	-6.216588e-02	5.528071e-02	8.505479e-06	-3.339086e-06	-2.596462e-07	9.625081e+00	2.449831e+01	0.000000e+00	9.982000e+02	2.927195e+04	1.761976e+00	3.927961e+00	6.958299e+00	1.912640e-04	2.550525e-04	-9.922975e-05	-6.440445e-06	
4	5	1	12	1.611045e-01	-5.391268e-02	4.937533e-02	1.247414e-05	-4.174129e-06	-1.281006e-07	8.347246e+00	2.494365e+01	0.000000e+00	9.982000e+02	3.135166e+04	1.220680e+00	3.426149e+00	7.174154e+00	6.404572e-06	3.910664e-04	-1.308349e-04	-3.969865e-06	
4	5	2	12	1.613913e-01	-5.307798e-02	5.025303e-02	1.105343e-05	-3.629908e-06	-1.307270e-07	8.218010e+00	2.498806e+01	0.000000e+00	9.982000e+02	3.115323e+04	1.260940e+00	3.544646e+00	7.176244e+00	3.136015e-04	3.557980e-04	-1.155797e-04	-1.945724e-06	
4	5	3	12	1.615950e-01	-5.249206e-02	5.108193e-02	9.813639e-06	-3.190463e-06	-1.707618e-07	8.127293e+00	2.501959e+01	0.000000e+00	9.982000e+02	3.147414e+04	1.384754e+00	3.902527e+00	7.052855e+00	3.088231e-04	3.119781e-04	-1.000697e-04	-3.238095e-06	
4	5	4	12	1.617405e-01	-5.208774e-02	5.185488e-02	8.695181e-06	-2.802504e-06	-1.761735e-07	8.064692e+00	2.504212e+01	0.000000e+00	9.982000e+02	3.249601e+04	1.499015e+00	4.229199e+00	7.030242e+00	6.815959e-05	2.842812e-04	-9.130069e-05	-5.277469e-06	
4	6	1	12	1.641506e-01	-4.371261e-02	4.588217e-02	1.277472e-05	-3.407125e-06	2.450097e-09	6.767979e+00	2.541528e+01	0.000000e+00	9.982000e+02	3.475877e+04	9.665066e-01	3.668337e+00	7.194199e+00	-1.578861e-06	4.445098e-04	-1.185607e-04	7.387516e-08	
4	6	2	12	1.643765e-01	-4.285859e-02	4.675739e-02	1.129303e-05	-2.943379e-06	-7.743423e-09	6.635753e+00	2.545024e+01	0.000000e+00	9.982000e+02	3.480867e+04	9.972965e-01	3.797902e+00	7.207600e+00	1.457278e-04	3.996458e-04	-1.035642e-04	7.789146e-07	
4	6	3	12	1.645336e-01	-4.225772e-02	4.758440e-02	1.000854e-05	-2.568376e-06	-3.004974e-08	6.542721e+00	2.547457e+01	0.000000e+00	9.982000e+02	3.504953e+04	1.095652e+00	4.165065e+00	7.108290e+00	3.993523e-04	3.597132e-04	-9.051212e-05	1.767799e-06	
4	6	4	12	1.646440e-01	-4.184197e-02	4.835593e-02	8.850973e-06	-2.252688e-06	-6.917153e-08	6.478350e+00	2.549167e+01	0.000000e+00	9.982000e+02	3.610109e+04	1.196370e+00	4.520814e+00	7.085605e+00	7.171323e-05	3.211032e-04	-8.137558e-05	-1.999605e-06	
4	7	1	12	1.665878e-01	-3.333595e-02	4.230789e-02	1.303599e-05	-2.615592e-06	1.060099e-07	5.161371e+00	2.579262e+01	0.000000e+00	9.982000e+02	3.788058e+04	7.060493e-01	3.879773e+00	7.211146e+00	1.322807e-06	4.955196e-04	-9.941762e-05	4.039160e-06	
4	7	2	12	1.667510e-01	-3.247943e-02	4.318501e-02	1.149292e-05	-2.242618e-06	8.183764e-08	5.028757e+00	2.581789e+01	0.000000e+00	9.982000e+02	3.798844e+04	7.229265e-01	4.015745e+00	7.242511e+00	6.395408e-05	4.404127e-04	-8.566979e-05	3.599905e-06	
4	7	3	12	1.668616e-01	-3.187804e-02	4.401378e-02	1.016618e-05	-1.941767e-06	6.938789e-08	4.935645e+00	2.583501e+01	0.000000e+00	9.982000e+02	3.797581e+04	7.906697e-01	4.390484e+00	7.181786e+00	5.016577e-04	4.013887e-04	-7.435567e-05	6.351655e-06	
4	7	4	12	1.669360e-01	-3.146284e-02	4.478704e-02	8.975259e-06	-1.692473e-06	4.130661e-08	4.871361e+00	2.584653e+01	0.000000e+00	9.982000e+02	3.910705e+04	8.656106e-01	4.778339e+00	7.148893e+00	6.769918e-05	3.529238e-04	-6.621372e-05	2.108945e-06	
4	8	1	12	1.683839e-01	-2.281982e-02	3.865233e-02	1.324216e-05	-1.799420e-06	9.923374e-08	3.533169e+00	2.607071e+01	0.000000e+00	9.982000e+02	4.010220e+04	4.833265e-01	4.025761e+00	7.239230e+00	5.412957e-06	5.361970e-04	-7.283901e-05	4.057381e-06	
4	8	2	12	1.684904e-01	-2.197624e-02	3.953546e-02	1.164945e-05	-1.529861e-06	8.694769e-08	3.402559e+00	2.608719e+01	0.000000e+00	9.982000e+02	4.020923e+04	4.675431e-01	4.151507e+00	7.277498e+00	4.771118e-05	4.740203e-04	-6.204795e-05	3.885789e-06	
4	8	3	12	1.685593e-01	-2.138756e-02	4.036976e-02	1.028670e-05	-1.307052e-06	1.041782e-07	3.311414e+00	2.609787e+01	0.000000e+00	9.982000e+02	4.034419e+04	4.993838e-01	4.544087e+00	7.243201e+00	1.193241e-04	4.230990e-04	-5.320510e-05	5.150924e-06	
4	8	4	12	1.686023e-01	-2.098424e-02	4.114801e-02	9.067985e-06	-1.129582e-06	9.226120e-08	3.248969e+00	2.610452e+01	0.000000e+00	9.982000e+02	4.152786e+04	5.435131e-01	4.975603e+00	7.220617e+00	5.750571e-05	3.797679e-04	-4.701483e-05	4.279777e-06	
4	9	1	12	1.694948e-01	-1.222500e-02	3.492421e-02	1.334081e-05	-9.601185e-07	-2.439594e-08	1.892785e+00	2.624271e+01	0.000000e+00	9.982000e+02	4.128890e+04	3.158927e-01	4.145022e+00	7.353196e+00	1.419774e-05	5.555660e-04	-3.992380e-05	-9.113148e-07	
4	9	2	12	1.695539e-01	-1.140285e-02	3.581469e-02	1.172151e-05	-7.941541e-07	-1.335537e-08	1.765492e+00	2.625186e+01	0.000000e+00	9.982000e+02	4.151752e+04	2.828657e-01	4.244444e+00	7.387808e+00	3.227495e-05	4.913867e-04	-3.315410e-05	-3.209065e-07	
4	9	3	12	1.695914e-01	-1.083248e-02	3.665501e-02	1.034379e-05	-6.656837e-07	2.085935e-08	1.677182e+00	2.625767e+01	0.000000e+00	9.982000e+02	4.163357e+04	2.712530e-01	4.641774e+00	7.348432e+00	6.663359e-05	4.386888e-04	-2.791981e-05	1.375547e-06	
4	9	4	12	1.696127e-01	-1.044494e-02	3.743829e-02	9.113533e-06	-5.608463e-07	5.672358e-08	1.617180e+00	2.626097e+01	0.000000e+00	9.982000e+02	4.292174e+04	2.700385e-01	5.110294e+00	7.315044e+00	3.545988e-05	3.956569e-04	-2.416592e-05	2.722555e-06	
4	10	1	12	1.699158e-01	-1.613236e-03	3.112923e-02	1.338825e-05	-1.247392e-07	-4.870075e-08	2.497758e-01	2.630789e+01	0.000000e+00	9.982000e+02	4.254089e+04	7.133991e-02	4.250463e+00	7.443040e+00	4.284727e-06	5.722286e-04	-5.313236e-06	-2.049567e-06	
4	10	2	12	1.699259e-01	-8.138971e-04	3.202650e-02	1.174839e-05	-5.808754e-08	-6.626299e-08	1.260149e-01	2.630946e+01	0.000000e+00	9.982000e+02	4.282047e+04	5.955245e-02	4.326301e+00	7.487157e+00	5.165195e-06	5.041869e-04	-2.470460e-06	-2.804956e-06	
4	10	3	12	1.699327e-01	-2.612920e-04	3.287179e-02	1.035724e-05	-1.627464e-08	-5.971384e-08	4.045558e-02	2.631051e+01	0.000000e+00	9.982000e+02	4.283535e+04	4.948607e-02	4.710146e+00	7.453366e+00	3.511174e-06	4.496525e-04	-6.899694e-07	-2.566182e-06	
4	10	4	12	1.699359e-01	1.120001e-04	3.365878e-02	9.116803e-06	1.703193e-08	-1.710768e-08	-1.734087e-02	2.631100e+01	0.000000e+00	9.982000e+02	4.396250e+04	3.597372e-02	5.205584e+00	7.399757e+00	-4.150149e-07	4.034992e-04	7.516477e-07	-7.602428e-07	
4	11	1	12	1.696801e-01	8.966660e-03	2.727286e-02	1.337936e-05	7.058727e-07	1.140342e-09	-1.388299e+00	2.627140e+01	0.000000e+00	9.982000e+02	4.437417e+04	-2.322707e-01	4.347536e+00	7.482843e+00	-9.790848e-06	5.972803e-04	3.146866e-05	-2.250404e-08	
4	11	2	12	1.696385e-01	9.745797e-03	2.817687e-02	1.172760e-05	6.663989e-07	-2.181208e-08	-1.508932e+00	2.626495e+01	0.000000e+00	9.982000e+02	4.498844e+04	-2.531915e-01	4.412763e+00	7.544165e+00	-2.224867e-05	5.281113e-04	2.991016e-05	-1.150365e-06	
4	11	3	12	1.696088e-01	1.028303e-02	2.902697e-02	1.033258e-05	6.230467e-07	-2.141696e-08	-1.592111e+00	2.626037e+01	0.000000e+00	9.982000e+02	4.491423e+04	-2.817816e-01	4.788583e+00	7.525064e+00	-5.578466e-05	4.713789e-04	2.815423e-05	-1.397857e-06	
4	11	4	12	1.695884e-01	1.064457e-02	2.981744e-02	9.090040e-06	5.705759e-07	-1.976268e-08	-1.648088e+00	2.625720e+01	0.000000e+00	9.982000e+02	4.598283e+04	-3.179965e-01	5.325433e+00	7.459864e+00	-3.653038e-05	4.196571e-04	2.614558e-05	-1.185397e-06	
4	12	1	12	1.688006e-01	1.945822e-02	2.335576e-02	1.333321e-05	1.536903e-06	-5.586371e-10	-3.012697e+00	2.613522e+01	0.000000e+00	9.982000e+02	4.531229e+04	-5.096889e-01	4.423432e+00	7.573661e+00	-1.588543e-05	6.109230e-04	7.034846e-05	-1.461808e-07	
4	12	2	12	1.687109e-01	2.022403e-02	2.426464e-02	1.167233e-05	1.399059e-06	-1.075087e-10	-3.131267e+00	2.612134e+01	0.000000e+00	9.982000e+02	4.619939e+04	-5.360533e-01	4.470092e+00	7.653709e+00	-4.481285e-05	5.395051e-04	6.446180e-05	-3.485475e-07	
4	12	3	12	1.686468e-01	2.075220e-02	2.511770e-02	1.027741e-05	1.264665e-06	1.113728e-09	-3.213043e+00	2.611142e+01	0.000000e+00	9.982000e+02	4.584086e+04	-5.936756e-01	4.818177e+00	7.642991e+00	-1.572080e-04	4.815533e-04	5.848046e-05	-1.152767e-06	
4	12	4	12	1.686026e-01	2.110787e-02	2.591001e-02	9.037664e-06	1.131529e-06	2.002488e-09	-3.268110e+00	2.610458e+01	0.000000e+00	9.982000e+02	4.697986e+04	-6.793851e-01	5.414705e+00	7.569370e+00	-7.027688e-05	4.265697e-04	5.301835e-05	-4.384850e-07	
4	13	1	12	1.672841e-01	2.980976e-02	1.936972e-02	1.324445e-05	2.360636e-06	1.087271e-09	-4.615415e+00	2.590043e+01	0.000000e+00	9.982000e+02	4.516584e+04	-7.901128e-01	4.434864e+00	7.683853e+00	-1.284605e-05	6.055539e-04	1.078716e-04	-4.922691e-08	
4	13	2	12	1.671467e-01	3.057171e-02	2.027986e-02	1.157983e-05	2.118547e-06	1.031413e-09	-4.733387e+00	2.587916e+01	0.000000e+00	9.982000e+02	4.618144e+04	-8.177604e-01	4.472830e+00	7.780515e+00	-6.362207e-05	5.337411e-04	9.735336e-05	-4.482723e-07	
4	13	3	12	1.670494e-01	3.109936e-02	2.113273e-02	1.018919e-05	1.897511e-06	9.411907e-10	-4.815083e+00	2.586410e+01	0.000000e+00	9.982000e+02	4.536839e+04	-8.862592e-01	4.763376e+00	7.781296e+00	-2.315091e-04	4.725641e-04	8.685016e-05	-1.762878e-06	
4	13	4	12	1.669824e-01	3.145692e-02	2.192409e-02	8.956500e-06	1.688097e-06	1.449375e-09	-4.870444e+00	2.585372e+01	0.000000e+00	9.982000e+02	4.674960e+04	-1.021667e+00	5.426737e+00	7.697304e+00	-9.670150e-05	4.199984e-04	7.861257e-05	-6.777758e-07	
4	14	1	12	1.651509e-01	3.997705e-02	1.530258e-02	1.313485e-05	3.180941e-06	3.422803e-09	-6.189607e+00	2.557014e+01	0.000000e+00	9.982000e+02	4.609992e+04	-1.075137e+00	4.442941e+00	7.764132e+00	-2.839141e-06	6.139850e-04	1.486785e-04	1.378988e-07	
4	14	2	12	1.649631e-01	4.074480e-02	1.621002e-02	1.145823e-05	2.831515e-06	3.385583e-09	-6.308476e+00	2.554108e+01	0.000000e+00	9.982000e+02	4.724821e+04	-1.104638e+00	4.473370e+00	7.898631e+00	-5.710045e-05	5.419255e-04	1.336457e-04	-2.917036e-07	
4	14	3	12	1.648298e-01	4.128030e-02	1.705899e-02	1.007023e-05	2.523296e-06	3.112274e-09	-6.391387e+00	2.552043e+01	0.000000e+00	9.982000e+02	4.641815e+04	-1.179899e+00	4.712130e+00	7.912812e+00	-1.737646e-04	4.737413e-04	1.178242e-04	-1.231903e-06	
4	14	4	12	1.647372e-01	4.164725e-02	1.784608e-02	8.845688e-06	2.237509e-06	2.974864e-09	-6.448202e+00	2.550610e+01	0.000000e+00	9.982000e+02	4.830896e+04	-1.379110e+00	5.455745e+00	7.809874e+00	-1.038197e-04	4.303392e-04	1.082439e-04	-6.678248e-07	
4	15	1	12	1.624243e-01	4.991238e-02	1.112805e-02	1.303257e-05	4.009358e-06	-2.531318e-10	-7.727883e+00	2.514799e+01	0.000000e+00	9.982000e+02	4.670240e+04	-1.367137e+00	4.472635e+00	7.886580e+00	6.662084e-06	6.182675e-04	1.902381e-04	4.066512e-08	
4	15	2	12	1.621809e-01	5.069832e-02	1.202825e-02	1.131049e-05	3.538119e-06	-1.019999e-09	-7.849570e+00	2.511030e+01	0.000000e+00	9.982000e+02	4.779831e+04	-1.400271e+00	4.495819e+00	8.061015e+00	-2.300347e-05	5.448142e-04	1.703122e-04	-2.349532e-07	
4	15	3	12	1.620079e-01	5.124857e-02	1.286939e-02	9.921577e-06	3.140393e-06	3.279677e-10	-7.934765e+00	2.508352e+01	0.000000e+00	9.982000e+02	4.742887e+04	-1.481237e+00	4.693772e+00	8.098365e+00	-1.543019e-04	4.754428e-04	1.496796e-04	-1.236670e-06	
4	15	4	12	1.618864e-01	5.163103e-02	1.364881e-02	8.704774e-06	2.777514e-06	7.459445e-10	-7.993981e+00	2.506471e+01	0.000000e+00	9.982000e+02	5.003010e+04	-1.758602e+00	5.520794e+00	7.959742e+00	-6.228924e-05	4.434541e-04	1.411082e-04	-4.591574e-07	
4	16	1	12	1.591877e-01	5.943788e-02	6.825287e-03	1.359036e-05	5.107904e-06	5.732406e-08	-9.202707e+00	2.464688e+01	0.000000e+00	9.982000e+02	4.350860e+04	-1.635186e+00	4.422090e+00	8.041377e+00	2.588601e-05	6.021656e-04	2.264565e-04	2.748795e-06	
4	16	2	12	1.588346e-01	6.036663e-02	7.706813e-03	1.106173e-05	4.213203e-06	9.044310e-09	-9.346505e+00	2.459220e+01	0.000000e+00	9.982000e+02	4.335439e+04	-1.660556e+00	4.395078e+00	8.255108e+00	2.902330e-05	4.904821e-04	1.869659e-04	6.413287e-07	
4	16	3	12	1.586093e-01	6.095531e-02	8.525771e-03	9.746065e-06	3.748938e-06	-2.317910e-09	-9.437649e+00	2.455731e+01	0.000000e+00	9.982000e+02	4.390652e+04	-1.717195e+00	4.491741e+00	8.396800e+00	-6.478452e-05	4.349274e-04	1.669590e-04	-6.487567e-07	
4	16	4	12	1.584544e-01	6.135721e-02	9.294294e-03	8.534985e-06	3.307912e-06	-2.302837e-09	-9.499876e+00	2.453333e+01	0.000000e+00	9.982000e+02	4.395534e+04	-2.108055e+00	5.466845e+00	8.178369e+00	-3.650739e-04	4.044870e-04	1.543867e-04	-3.110762e-06	
4	17	1	12	1.569743e-01	6.522993e-02	4.421030e-03	2.603360e-06	1.079136e-06	-5.953543e-09	-1.009948e+01	2.430417e+01	0.000000e+00	9.982000e+02	4.313860e+04	-1.756133e+00	4.219951e+00	7.918682e+00	4.523717e-06	1.121215e-04	4.649870e-05	-2.205443e-07	
4	17	2	12	1.566448e-01	6.602433e-02	5.282060e-03	1.710321e-06	7.201164e-07	-2.752553e-09	-1.022248e+01	2.425315e+01	0.000000e+00	9.982000e+02	4.263651e+04	-1.746824e+00	4.153872e+00	8.093413e+00	3.087010e-06	7.326836e-05	3.086426e-05	-9.289181e-08	
4	17	3	12	1.564391e-01	6.651376e-02	6.058596e-03	1.369623e-06	5.819303e-07	-1.653782e-09	-1.029826e+01	2.422130e+01	0.000000e+00	9.982000e+02	4.378426e+04	-1.758517e+00	4.145966e+00	8.333105e+00	-4.069145e-05	6.258370e-05	2.638762e-05	-4.158400e-07	
