b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
0	1	1	8	-1.863822e-01	4.226012e-03	-7.730273e-02	-3.240291e-05	7.334736e-07	1.869096e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.242539e+04	3.456180e+00	-3.827998e+00	6.141901e+00	-3.514975e-05	-1.363035e-03	3.098546e-05	7.859519e-04	
0	1	2	8	-1.861428e-01	-5.852302e-03	-7.692197e-02	-2.801294e-05	-8.838158e-07	1.617820e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.276326e+04	3.528538e+00	-3.988715e+00	5.891843e+00	3.566249e-05	-1.191241e-03	-3.773017e-05	6.882562e-04	
0	1	3	8	-1.857354e-01	-1.354450e-02	-7.686241e-02	-2.148921e-05	-1.576559e-06	1.243713e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.317256e+04	3.500578e+00	-4.199958e+00	5.515996e+00	2.239833e-05	-9.251581e-04	-6.797402e-05	5.356155e-04	
0	1	4	8	-1.856216e-01	-1.807551e-02	-7.730054e-02	-1.289264e-05	-1.264508e-06	7.460806e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.318936e+04	3.349829e+00	-4.320517e+00	5.056399e+00	-3.397064e-18	-5.552694e-04	-5.446072e-05	3.213273e-04	
0	2	1	8	-1.882129e-01	6.678772e-03	-8.059800e-02	-3.748939e-05	1.326690e-06	2.169422e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.310593e+04	3.384746e+00	-3.801837e+00	6.081615e+00	-5.906372e-05	-1.603141e-03	5.694993e-05	9.272237e-04	
0	2	2	8	-1.881807e-01	-3.190329e-03	-8.034066e-02	-3.254663e-05	-5.570776e-07	1.882144e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.306704e+04	3.474634e+00	-3.993315e+00	5.890253e+00	2.171506e-05	-1.394064e-03	-2.394923e-05	8.063468e-04	
0	2	3	8	-1.880343e-01	-1.052273e-02	-8.050025e-02	-2.399493e-05	-1.347560e-06	1.388806e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.344189e+04	3.476183e+00	-4.210630e+00	5.597376e+00	2.909777e-05	-1.039870e-03	-5.852743e-05	6.020895e-04	
0	2	4	8	-1.881515e-01	-1.472290e-02	-8.115899e-02	-1.345596e-05	-1.052839e-06	7.801961e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.273765e+04	3.404092e+00	-4.356817e+00	5.283066e+00	-2.497113e-06	-5.714259e-04	-4.469830e-05	3.313030e-04	
0	3	1	8	-1.902601e-01	9.659694e-03	-8.435273e-02	-4.150046e-05	2.103981e-06	2.410222e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.391338e+04	3.311216e+00	-3.751431e+00	6.028902e+00	-8.489500e-05	-1.809580e-03	9.204567e-05	1.050274e-03	
0	3	2	8	-1.904572e-01	-2.977205e-05	-8.422586e-02	-3.529488e-05	-1.020318e-08	2.046740e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.313054e+04	3.422652e+00	-3.952803e+00	5.900201e+00	4.532825e-07	-1.513727e-03	-4.393879e-07	8.778096e-04	
