b	dir	mp	f1	f2	f3
0	MinI	1.628466e+01	1.028425e-01	-3.761228e-02	2.058091e-01
0	PluI	1.538416e+01	1.072899e-01	-2.009477e-02	1.922190e-01
0	MinJ	-3.174886e+01	-7.388865e-02	-5.217732e-02	-5.402395e-01
0	PluJ	8.661276e-02	2.599410e-02	1.093618e-01	4.495936e-02
0	MinK	-5.800165e-03	1.372953e-01	-1.437524e-03	-7.923324e-02
0	PluK	1.138043e-03	-2.995786e-01	1.970239e-03	1.763906e-01
1	MinI	-3.063723e+01	-2.239052e-01	8.939145e-02	-4.548349e-01
1	PluI	2.643283e+01	1.551253e-01	-8.862270e-02	3.286159e-01
1	MinJ	1.336427e+00	-1.452666e-01	-5.818565e-01	-9.200048e-02
1	PluJ	2.887189e+00	3.315625e-01	5.451832e-01	1.455134e-01
1	MinK	-1.482861e-02	9.952477e-02	-3.046345e-02	-6.018060e-02
1	PluK	-3.965638e-03	-2.170864e-01	6.638276e-02	1.328080e-01
2	MinI	-5.831203e+01	-3.530760e-07	5.598276e-08	-1.696801e+00
2	PluI	5.816949e+01	4.589079e-01	-9.363209e-02	9.415137e-01
2	MinJ	5.955960e+00	3.322681e-01	-1.660621e+00	6.037389e-02
2	PluJ	-5.972105e+00	6.184567e-01	1.577490e+00	-6.064444e-02
2	MinK	6.738679e-02	6.984538e-01	-1.217844e-01	-7.141378e-02
2	PluK	2.009724e-01	-2.108231e+00	2.985671e-01	8.280596e-01
3	MinI	-5.810227e+01	-3.685742e-01	1.484302e-01	-7.323920e-01
3	PluI	5.813503e+01	2.008545e-01	-1.516187e-01	7.384439e-01
3	MinJ	8.844356e+00	6.178413e-02	-2.400255e-01	4.547748e-02
3	PluJ	-8.845306e+00	7.766101e-02	2.350188e-01	-4.548414e-02
3	MinK	-1.979900e-02	1.052211e-01	5.078124e-03	-4.591599e-02
3	PluK	-1.056559e-02	-7.697162e-02	3.136399e-03	3.980356e-02
4	MinI	5.915122e+00	-3.017945e-04	1.634224e-03	4.271521e-02
4	PluI	6.046395e+00	-1.891393e-03	-2.710433e-03	2.620912e-02
4	MinJ	-1.202528e+01	1.959185e-01	-7.011713e-01	-1.558186e+00
4	PluJ	5.895504e-02	-1.745655e-01	7.072810e-01	1.488641e+00
4	MinK	1.860796e-03	1.902065e-03	-3.931270e-04	2.762977e-04
4	PluK	-9.796608e-04	-1.493408e-02	-3.868387e-04	3.138800e-04
5	MinI	-1.487643e+02	7.530956e-02	-3.961639e-01	-1.836809e+00
5	PluI	1.487891e+02	-3.045877e-01	1.073356e-02	4.679856e-01
5	MinJ	7.790439e-01	-8.058687e-02	2.508363e-01	4.975297e-01
5	PluJ	-8.076473e-01	4.220799e-01	7.671990e-02	8.633664e-01
5	MinK	-7.165228e-03	-3.894784e-02	-4.725728e-02	1.848205e-03
5	PluK	4.636893e-03	1.473910e-01	2.096033e-01	6.091377e-03
6	MinI	-1.607284e+02	4.468859e-01	-4.419184e-01	-2.020808e+00
6	PluI	1.608182e+02	-1.139213e-01	4.244190e-01	2.034099e+00
6	MinJ	-7.559536e+01	4.077747e-02	9.675002e-02	-5.621201e-01
6	PluJ	7.559533e+01	-9.674935e-02	4.077685e-02	5.621199e-01
6	MinK	1.073596e-02	-2.078934e-01	3.401174e-02	-3.014264e-02
6	PluK	-9.907200e-02	3.589234e-01	-6.370147e-02	1.670890e-02
7	MinI	-1.607553e+02	3.013942e-01	-1.721886e-02	-5.326473e-01
7	PluI	1.608513e+02	-2.738884e-01	-7.362605e-02	4.339549e-01
7	MinJ	-2.599723e+02	1.080407e-01	8.697375e-02	-1.734793e+00
7	PluJ	2.599723e+02	-8.697256e-02	1.080422e-01	1.734793e+00
7	MinK	1.570255e-02	2.740354e-02	-1.979639e-01	4.050490e-02
7	PluK	-1.216000e-01	-1.258355e-01	6.833072e-01	5.844423e-02
