b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
6	1	1	1	5.138167e-02	3.654109e-02	-8.119399e-02	-7.855754e-07	-5.586772e-07	3.578567e-06	-8.001074e+00	1.125058e+01	0.000000e+00	9.982000e+02	3.476341e+04	-4.058921e+00	3.002456e+00	7.243748e+00	-2.648163e-02	1.471235e-04	-4.890922e-05	-3.157191e-04	
6	1	1	2	5.574721e-02	3.973696e-02	-7.973670e-02	-3.231592e-06	-2.303521e-06	1.473236e-05	-8.700846e+00	1.220647e+01	0.000000e+00	9.982000e+02	3.309587e+04	-4.001315e+00	2.682572e+00	7.484493e+00	-1.149021e-01	6.053273e-04	-2.025120e-04	-1.332279e-03	
6	1	1	3	6.369598e-02	4.561129e-02	-7.707455e-02	-4.902139e-06	-3.510370e-06	2.238284e-05	-9.987094e+00	1.394693e+01	0.000000e+00	9.982000e+02	3.273324e+04	-3.856072e+00	2.178246e+00	8.073656e+00	-1.900710e-01	9.208664e-04	-2.735090e-04	-2.238115e-03	
6	1	1	4	7.269928e-02	5.230530e-02	-7.405282e-02	-5.633793e-06	-4.053384e-06	2.576504e-05	-1.145282e+01	1.591831e+01	0.000000e+00	9.982000e+02	3.107413e+04	-3.724615e+00	1.879400e+00	8.394738e+00	-2.279697e-01	1.038626e-03	-2.845608e-04	-2.685469e-03	
6	1	1	5	8.169121e-02	5.901460e-02	-7.103109e-02	-6.321440e-06	-4.566651e-06	2.895040e-05	-1.292190e+01	1.788719e+01	0.000000e+00	9.982000e+02	2.956289e+04	-3.691734e+00	1.706988e+00	8.662721e+00	-2.647651e-01	1.177037e-03	-3.007921e-04	-3.128255e-03	
6	1	1	6	9.063457e-02	6.579039e-02	-6.800936e-02	-6.975276e-06	-5.063217e-06	3.199760e-05	-1.440553e+01	1.984544e+01	0.000000e+00	9.982000e+02	2.789771e+04	-3.708380e+00	1.582616e+00	8.929570e+00	-3.020812e-01	1.330721e-03	-3.173220e-04	-3.576975e-03	
6	1	1	7	9.950973e-02	7.265889e-02	-6.498764e-02	-7.627601e-06	-5.569415e-06	3.506134e-05	-1.590946e+01	2.178875e+01	0.000000e+00	9.982000e+02	2.568968e+04	-3.767138e+00	1.455700e+00	9.245539e+00	-3.428585e-01	1.509863e-03	-3.313347e-04	-4.059136e-03	
6	1	1	8	1.083952e-01	7.951237e-02	-6.196591e-02	-8.253507e-06	-6.054246e-06	3.799994e-05	-1.741011e+01	2.373431e+01	0.000000e+00	9.982000e+02	2.281039e+04	-3.854691e+00	1.290537e+00	9.615729e+00	-3.867410e-01	1.710494e-03	-3.290212e-04	-4.568045e-03	
6	1	1	9	1.173771e-01	8.623363e-02	-5.894418e-02	-8.881526e-06	-6.525001e-06	4.091305e-05	-1.888180e+01	2.570101e+01	0.000000e+00	9.982000e+02	1.862075e+04	-4.003940e+00	1.104411e+00	1.006357e+01	-4.365701e-01	1.956675e-03	-3.154942e-04	-5.108617e-03	
6	1	1	10	1.268293e-01	9.232770e-02	-5.592245e-02	-9.614146e-06	-6.998611e-06	4.423058e-05	-2.021617e+01	2.777067e+01	0.000000e+00	9.982000e+02	1.135730e+04	-4.284598e+00	9.236592e-01	1.064190e+01	-5.021620e-01	2.341738e-03	-2.926106e-04	-5.760399e-03	
6	1	1	11	1.376915e-01	9.392122e-02	-5.326030e-02	-7.994077e-06	-5.452114e-06	3.558959e-05	-2.056509e+01	3.014907e+01	0.000000e+00	9.982000e+02	2.751596e+03	-4.524144e+00	6.972574e-01	1.145350e+01	-4.388941e-01	2.180993e-03	-1.582653e-04	-5.025096e-03	
