b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
2	1	1	1	-1.513350e-01	-1.452380e-02	-3.500000e-01	0.000000e+00	0.000000e+00	5.988738e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.534762e+04	0.000000e+00	0.000000e+00	4.321850e+00	-2.582425e-01	-5.853047e-13	-1.738721e-11	-5.042172e-03	
2	1	1	2	-1.674512e-01	-1.691590e-02	-3.500000e-01	0.000000e+00	0.000000e+00	1.931552e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.501291e+04	0.000000e+00	0.000000e+00	4.398751e+00	-8.474021e-01	-2.918782e-10	-1.742198e-10	-1.633603e-02	
2	1	1	3	-1.917446e-01	-2.055669e-02	-3.500000e-01	0.000000e+00	0.000000e+00	2.272173e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.648846e+04	0.000000e+00	0.000000e+00	4.048775e+00	-9.180159e-01	-2.194595e-10	-5.146182e-11	-1.886660e-02	
2	1	1	4	-2.163332e-01	-2.431087e-02	-3.500000e-01	0.000000e+00	0.000000e+00	2.566882e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.718459e+04	0.000000e+00	0.000000e+00	3.872701e+00	-9.920115e-01	-8.192360e-10	-8.196754e-11	-2.113363e-02	
2	1	1	5	-2.409099e-01	-2.812864e-02	-3.500000e-01	0.000000e+00	0.000000e+00	2.861076e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.839324e+04	0.000000e+00	0.000000e+00	3.546288e+00	-1.012647e+00	8.683774e-11	3.380497e-11	-2.320516e-02	
2	1	1	6	-2.654754e-01	-3.200747e-02	-3.500000e-01	0.000000e+00	0.000000e+00	3.154661e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.947537e+04	0.000000e+00	0.000000e+00	3.226143e+00	-1.015989e+00	-3.074552e-10	-6.258729e-11	-2.523780e-02	
2	1	1	7	-2.897266e-01	-3.586340e-02	-3.500000e-01	0.000000e+00	0.000000e+00	3.358509e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	7.026182e+04	0.000000e+00	0.000000e+00	2.971911e+00	-9.966562e-01	-2.915526e-09	-1.821936e-09	-2.659728e-02	
2	1	1	8	-3.058096e-01	-3.840706e-02	-3.500000e-01	0.000000e+00	0.000000e+00	1.218039e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	7.091975e+04	0.000000e+00	0.000000e+00	2.741174e+00	-3.349731e-01	-9.797265e-09	-1.188789e-08	-9.522824e-03	
2	1	2	1	-1.518532e-01	-7.329823e-03	-3.500000e-01	0.000000e+00	0.000000e+00	6.016320e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.534611e+04	0.000000e+00	0.000000e+00	4.322200e+00	-2.594519e-01	-1.294205e-12	-1.442810e-11	-5.065510e-03	
2	1	2	2	-1.680648e-01	-8.953515e-03	-3.500000e-01	0.000000e+00	0.000000e+00	1.939237e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	6.501234e+04	0.000000e+00	0.000000e+00	4.398881e+00	-8.508126e-01	-2.816519e-10	-1.327247e-10	-1.640077e-02	
