b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
7	16	1	1	2.155366e-02	-1.552544e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.299765e-06	3.399467e+00	4.719412e+00	0.000000e+00	9.982000e+02	-3.880291e+04	-4.688290e-01	-5.524223e-01	8.371943e+00	1.921699e-02	-9.025962e-06	-1.063531e-05	7.171728e-05	
7	16	1	2	2.729997e-02	-2.029823e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.098308e-05	4.444521e+00	5.977629e+00	0.000000e+00	9.982000e+02	-3.870655e+04	-3.167886e-01	-3.483567e-01	8.797871e+00	9.634874e-02	-3.058660e-05	-3.363456e-05	4.200199e-04	
7	16	1	3	3.778117e-02	-2.902478e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.998684e-05	6.355294e+00	8.272603e+00	0.000000e+00	9.982000e+02	-3.863415e+04	-2.827354e-01	-3.336483e-01	8.474205e+00	1.687314e-01	-4.781825e-05	-5.642901e-05	6.483740e-04	
7	16	1	4	4.964126e-02	-3.896369e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.644736e-05	8.531528e+00	1.086950e+01	0.000000e+00	9.982000e+02	-3.859636e+04	-1.551092e-01	-2.417914e-01	8.330089e+00	2.191932e-01	-3.409009e-05	-5.314121e-05	7.841504e-04	
7	16	1	5	6.145810e-02	-4.894981e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.321829e-05	1.071810e+01	1.345693e+01	0.000000e+00	9.982000e+02	-3.859154e+04	5.838019e-02	-6.700816e-02	8.278841e+00	2.733062e-01	1.600323e-05	-1.836834e-05	9.448268e-04	
7	16	1	6	7.331317e-02	-5.888406e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.019667e-05	1.289331e+01	1.605272e+01	0.000000e+00	9.982000e+02	-3.858785e+04	2.982083e-01	1.077812e-01	8.346781e+00	3.331825e-01	9.967519e-05	3.602553e-05	1.178260e-03	
7	16	1	7	8.538237e-02	-6.855004e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.731759e-05	1.500979e+01	1.869541e+01	0.000000e+00	9.982000e+02	-3.855888e+04	5.396924e-01	2.718708e-01	8.466478e+00	3.976915e-01	2.153413e-04	1.084785e-04	1.476588e-03	
7	16	1	8	9.791532e-02	-7.763287e-02	1.700000e-01	0.000000e+00	0.000000e+00	5.459784e-05	1.699857e+01	2.143964e+01	0.000000e+00	9.982000e+02	-3.849349e+04	7.528985e-01	3.980448e-01	8.636339e+00	4.680666e-01	3.535868e-04	1.869354e-04	1.862588e-03	
7	16	1	9	1.112797e-01	-8.563332e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.197092e-05	1.875036e+01	2.436591e+01	0.000000e+00	9.982000e+02	-3.839186e+04	9.552550e-01	5.072167e-01	8.797914e+00	5.412474e-01	5.187658e-04	2.754517e-04	2.293445e-03	
7	16	1	10	1.260191e-01	-9.172039e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.947874e-05	2.008319e+01	2.759328e+01	0.000000e+00	9.982000e+02	-3.825637e+04	1.152517e+00	6.231322e-01	8.892904e+00	6.131382e-01	7.091136e-04	3.833969e-04	2.686222e-03	
