b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
0	1	1	1	-8.380763e-02	2.117240e-05	-1.332727e-01	-1.550044e-05	1.141365e-09	8.717102e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.568087e+04	3.814035e+00	-3.995794e+00	6.782505e+00	-7.262128e-08	5.674656e-04	-4.149305e-08	-3.191306e-04	
0	1	2	1	-8.360576e-02	-4.491155e-03	-1.331127e-01	-1.293751e-05	-7.005072e-07	7.297365e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.589457e+04	3.988278e+00	-3.767194e+00	6.709191e+00	2.889332e-05	4.775636e-04	2.574145e-05	-2.691083e-04	
0	1	3	1	-8.325188e-02	-8.016214e-03	-1.329362e-01	-9.552931e-06	-9.318599e-07	5.411081e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.672427e+04	4.129798e+00	-3.591282e+00	6.672437e+00	1.925881e-05	3.600020e-04	3.503869e-05	-2.037418e-04	
0	1	4	1	-8.299889e-02	-1.017562e-02	-1.328950e-01	-5.391954e-06	-6.724669e-07	3.058510e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.625327e+04	3.988618e+00	-3.249521e+00	6.317211e+00	2.101520e-06	2.013109e-04	2.509810e-05	-1.141726e-04	
0	2	1	1	-8.572545e-02	1.461082e-03	-1.366459e-01	-1.687961e-05	2.906009e-07	9.829918e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.442976e+04	3.908238e+00	-3.979533e+00	6.828741e+00	-1.598384e-05	5.922938e-04	-1.013413e-05	-3.450713e-04	
0	2	2	1	-8.563588e-02	-2.938523e-03	-1.365375e-01	-1.440024e-05	-4.935365e-07	8.376700e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.447385e+04	4.071363e+00	-3.771215e+00	6.776818e+00	1.950600e-05	5.078030e-04	1.732690e-05	-2.952126e-04	
0	2	3	1	-8.547561e-02	-6.252374e-03	-1.365471e-01	-1.043815e-05	-7.683200e-07	6.074942e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.530468e+04	4.176315e+00	-3.587789e+00	6.722109e+00	1.579040e-05	3.768026e-04	2.767287e-05	-2.191515e-04	
0	2	4	1	-8.543764e-02	-8.207496e-03	-1.367554e-01	-5.659849e-06	-5.558884e-07	3.297762e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.493307e+04	4.024363e+00	-3.254464e+00	6.358301e+00	1.802388e-06	2.025163e-04	1.988334e-05	-1.179821e-04	
0	3	1	1	-8.784437e-02	3.304684e-03	-1.403756e-01	-1.849599e-05	6.918536e-07	1.076006e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.375911e+04	3.905703e+00	-3.969164e+00	6.968915e+00	-3.443070e-05	6.342414e-04	-2.359184e-05	-3.692904e-04	
0	3	2	1	-8.791262e-02	-9.976357e-04	-1.403788e-01	-1.561321e-05	-1.822901e-07	9.074644e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.355814e+04	4.070632e+00	-3.784986e+00	6.927618e+00	7.456038e-06	5.344512e-04	6.211179e-06	-3.105618e-04	
0	3	3	1	-8.791739e-02	-4.206839e-03	-1.405321e-01	-1.107687e-05	-5.342932e-07	6.440203e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.435980e+04	4.175542e+00	-3.629151e+00	6.880673e+00	1.330781e-05	3.875944e-04	1.864418e-05	-2.252264e-04	
0	3	4	1	-8.798889e-02	-6.113778e-03	-1.408364e-01	-5.975686e-06	-4.169912e-07	3.476299e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.389462e+04	4.026196e+00	-3.323271e+00	6.522315e+00	3.988546e-06	2.071215e-04	1.443849e-05	-1.204553e-04	
0	4	1	1	-9.010638e-02	5.387058e-03	-1.444523e-01	-1.998212e-05	1.191193e-06	1.155262e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.317921e+04	3.869448e+00	-3.932394e+00	7.098305e+00	-5.249319e-05	6.743798e-04	-4.000616e-05	-3.903840e-04	
0	4	2	1	-9.031486e-02	1.128613e-03	-1.445297e-01	-1.662010e-05	2.045662e-07	9.590666e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.281857e+04	4.033914e+00	-3.775625e+00	7.071085e+00	-7.794285e-06	5.580712e-04	-6.839700e-06	-3.221100e-04	
0	4	3	1	-9.043437e-02	-2.051091e-03	-1.447467e-01	-1.164497e-05	-2.658422e-07	6.719045e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.342100e+04	4.141792e+00	-3.649513e+00	7.033862e+00	7.581079e-06	3.964302e-04	9.021497e-06	-2.286648e-04	
0	4	4	1	-9.057003e-02	-3.958011e-03	-1.450800e-01	-6.273742e-06	-2.743864e-07	3.621780e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.271488e+04	4.009539e+00	-3.365283e+00	6.690475e+00	3.863513e-06	2.102923e-04	9.183353e-06	-1.213649e-04	
0	5	1	1	-9.247941e-02	7.611592e-03	-1.488293e-01	-2.133271e-05	1.753102e-06	1.234077e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.279687e+04	3.845487e+00	-3.870976e+00	7.197350e+00	-6.968521e-05	7.120313e-04	-5.826446e-05	-4.125639e-04	
0	5	2	1	-9.279759e-02	3.354329e-03	-1.489267e-01	-1.754401e-05	6.321714e-07	1.012128e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.225958e+04	4.009704e+00	-3.735421e+00	7.183650e+00	-2.027329e-05	5.793769e-04	-2.080351e-05	-3.344408e-04	
0	5	3	1	-9.299930e-02	1.671178e-04	-1.491536e-01	-1.220592e-05	2.103770e-08	7.037573e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.271029e+04	4.120408e+00	-3.632743e+00	7.157269e+00	-6.134153e-07	4.066248e-04	-6.986080e-07	-2.344537e-04	
0	5	4	1	-9.318123e-02	-1.757200e-03	-1.494863e-01	-6.586306e-06	-1.241995e-07	3.798939e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.194350e+04	4.004151e+00	-3.370097e+00	6.831907e+00	2.050263e-06	2.156492e-04	4.059379e-06	-1.243662e-04	
0	6	1	1	-9.496186e-02	9.926147e-03	-1.534843e-01	-2.270917e-05	2.371365e-06	1.319324e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.256930e+04	3.834007e+00	-3.779737e+00	7.278746e+00	-1.890493e-04	7.486126e-04	-7.752964e-05	-4.367223e-04	
