b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
0	1	4	1	-8.552790e-02	-1.087182e-02	-1.314604e-01	-6.054626e-06	-2.786842e-05	-1.050729e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.625327e+04	3.788190e+00	-3.252030e+00	6.442464e+00	-5.212389e-04	-2.218713e-04	-1.010457e-03	-3.849702e-04	
0	1	4	2	-9.562026e-02	-1.085150e-02	-1.256888e-01	-1.791745e-05	-8.236027e-05	-3.102221e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.865977e+04	3.087176e+00	-3.163456e+00	6.615543e+00	-8.373479e-04	-6.965210e-04	-3.187128e-03	-1.207020e-03	
0	1	4	3	-1.108092e-01	-1.082095e-02	-1.170019e-01	-1.880353e-05	-8.652919e-05	-3.259041e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.563527e+04	2.524048e+00	-3.223643e+00	7.102650e+00	-6.065686e-04	-6.728095e-04	-3.087098e-03	-1.167776e-03	
0	1	4	4	-1.262277e-01	-1.079366e-02	-1.081768e-01	-1.932115e-05	-8.901669e-05	-3.347504e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.274303e+04	2.360934e+00	-3.327842e+00	7.486698e+00	-1.022578e-04	-6.340157e-04	-2.919591e-03	-1.098818e-03	
0	1	4	5	-1.417014e-01	-1.077522e-02	-9.928934e-02	-1.975103e-05	-9.084152e-05	-3.417892e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.918112e+04	2.466201e+00	-3.501876e+00	7.882220e+00	-2.281699e-03	-5.830185e-04	-2.647704e-03	-1.017168e-03	
0	1	4	6	-1.571276e-01	-1.076668e-02	-9.040351e-02	-1.988433e-05	-9.147841e-05	-3.445499e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.648391e+04	2.786323e+00	-3.650229e+00	8.083384e+00	-3.061672e-03	-5.281309e-04	-2.379484e-03	-9.251102e-04	
0	1	4	7	-1.722064e-01	-1.075752e-02	-8.172417e-02	-1.933784e-05	-8.899693e-05	-3.349592e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.092303e+04	3.699158e+00	-3.873772e+00	8.156817e+00	-3.736679e-03	-4.019816e-04	-1.772389e-03	-7.028320e-04	
0	1	4	8	-1.821176e-01	-1.074580e-02	-7.603224e-02	-6.614029e-06	-3.041660e-05	-1.144734e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.126234e+04	4.365422e+00	-3.928185e+00	7.915290e+00	-3.964005e-05	-1.405743e-04	-6.455273e-04	-2.433156e-04	
0	2	4	1	-8.806544e-02	-8.816607e-03	-1.354655e-01	-6.160430e-06	-2.854633e-05	-1.070315e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.493307e+04	3.803765e+00	-3.256756e+00	6.496745e+00	-4.584608e-04	-2.173358e-04	-9.975225e-04	-3.775485e-04	
0	2	4	2	-9.820049e-02	-8.756383e-03	-1.297738e-01	-1.832407e-05	-8.456432e-05	-3.169853e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.789812e+04	3.105845e+00	-3.173459e+00	6.670648e+00	-5.908924e-04	-6.975377e-04	-3.208735e-03	-1.207428e-03	
